0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:09 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:20 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:31 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:42 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:50 -0400] "POST /atm-api/accounts/654321/transfers?toAccountNumber=-1&amount=0 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:43:53 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:44:04 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:44:15 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:44:26 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:44:37 -0400] "GET /atm-ui/resources/images/penguin-blue.png HTTP/1.1" 200 688
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:44:37 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:45:58 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:05 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:12 -0400] "GET /atm-api/users/michael HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:13 -0400] "GET /atm-ui/resources/images/transfer-arrows.png HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:13 -0400] "GET /atm-ui/resources/images/penguin-white.png HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:13 -0400] "GET /atm-api/accounts/654321 HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:13 -0400] "GET /atm-api/accounts/111222 HTTP/1.1" 200 1268
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:16 -0400] "GET /atm-ui/resources/images/ice-sunset.png HTTP/1.1" 200 898515
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:27 -0400] "GET /atm-ui/resources/images/penguin-family2.png HTTP/1.1" 200 3216014
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:38 -0400] "GET /atm-ui/resources/images/cute-seals.png HTTP/1.1" 200 1156920
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:43 -0400] "GET /atm-api/654321/history?start=06-17-2021&end=06-18-2021 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:44 -0400] "GET /atm-ui/resources/images/back-arrow.png HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [18/Jun/2021:22:46:49 -0400] "GET /atm-ui/resources/images/iceberg.png HTTP/1.1" 200 956913
